YearMonth,Year,Month,Bidding,Bid_Type,Category,quantity
2002 Feb,2002,Feb,1st,Quota,Total,3939
2002 Feb,2002,Feb,1st,Quota,Cars <=1600cc,1473
2002 Feb,2002,Feb,1st,Quota,Cars >1600cc,651
2002 Feb,2002,Feb,1st,Quota,Goods Vehicles and Buses,398
2002 Feb,2002,Feb,1st,Quota,Motorcycles,612
2002 Feb,2002,Feb,1st,Quota,Open,805
2002 Feb,2002,Feb,1st,Successful,Total,3910
2002 Feb,2002,Feb,1st,Successful,Cars <=1600cc,1450
2002 Feb,2002,Feb,1st,Successful,Cars >1600cc,651
2002 Feb,2002,Feb,1st,Successful,Goods Vehicles and Buses,393
2002 Feb,2002,Feb,1st,Successful,Motorcycles,612
2002 Feb,2002,Feb,1st,Successful,Open,804
2002 Feb,2002,Feb,1st,Received,Total,12160
2002 Feb,2002,Feb,1st,Received,Cars <=1600cc,4834
2002 Feb,2002,Feb,1st,Received,Cars >1600cc,2240
2002 Feb,2002,Feb,1st,Received,Goods Vehicles and Buses,1229
2002 Feb,2002,Feb,1st,Received,Motorcycles,1346
2002 Feb,2002,Feb,1st,Received,Open,2511
2002 Feb,2002,Feb,1st,Dollar Amount,Cars <=1600cc,30003
2002 Feb,2002,Feb,1st,Dollar Amount,Cars >1600cc,30660
2002 Feb,2002,Feb,1st,Dollar Amount,Goods Vehicles and Buses,24202
2002 Feb,2002,Feb,1st,Dollar Amount,Motorcycles,630
2002 Feb,2002,Feb,1st,Dollar Amount,Open,30688
2002 Feb,2002,Feb,2nd,Quota,Total,3991
2002 Feb,2002,Feb,2nd,Quota,Cars <=1600cc,1467
2002 Feb,2002,Feb,2nd,Quota,Cars >1600cc,649
2002 Feb,2002,Feb,2nd,Quota,Goods Vehicles and Buses,415
2002 Feb,2002,Feb,2nd,Quota,Motorcycles,647
2002 Feb,2002,Feb,2nd,Quota,Open,813
2002 Feb,2002,Feb,2nd,Successful,Total,3958
2002 Feb,2002,Feb,2nd,Successful,Cars <=1600cc,1466
2002 Feb,2002,Feb,2nd,Successful,Cars >1600cc,647
2002 Feb,2002,Feb,2nd,Successful,Goods Vehicles and Buses,415
2002 Feb,2002,Feb,2nd,Successful,Motorcycles,630
2002 Feb,2002,Feb,2nd,Successful,Open,800
2002 Feb,2002,Feb,2nd,Received,Total,6210
2002 Feb,2002,Feb,2nd,Received,Cars <=1600cc,2450
2002 Feb,2002,Feb,2nd,Received,Cars >1600cc,965
2002 Feb,2002,Feb,2nd,Received,Goods Vehicles and Buses,647
2002 Feb,2002,Feb,2nd,Received,Motorcycles,757
2002 Feb,2002,Feb,2nd,Received,Open,1391
2002 Feb,2002,Feb,2nd,Dollar Amount,Cars <=1600cc,29997
2002 Feb,2002,Feb,2nd,Dollar Amount,Cars >1600cc,30289
2002 Feb,2002,Feb,2nd,Dollar Amount,Goods Vehicles and Buses,22983
2002 Feb,2002,Feb,2nd,Dollar Amount,Motorcycles,559
2002 Feb,2002,Feb,2nd,Dollar Amount,Open,30689
